order_id,customer_id,product_id,order_date,quantity,discount_percent,shipping_cost,payment_method,order_status
1001,1,101,2023-07-01,2,0.0,5.99,Credit Card,Completed
1002,1,116,2023-07-01,1,0.0,5.99,Credit Card,Completed
1003,2,106,2023-07-02,1,10.0,7.99,PayPal,Completed
1004,3,111,2023-07-03,1,0.0,15.99,Credit Card,Completed
1005,4,102,2023-07-03,3,5.0,5.99,Debit Card,Completed
1006,5,108,2023-07-04,2,0.0,5.99,Credit Card,Completed
1007,2,104,2023-07-05,1,15.0,7.99,PayPal,Completed
1008,6,107,2023-07-05,1,0.0,7.99,Credit Card,Completed
1009,7,119,2023-07-06,1,0.0,5.99,Debit Card,Completed
1010,8,101,2023-07-07,1,0.0,5.99,Credit Card,Completed
1011,9,112,2023-07-08,1,5.0,19.99,Credit Card,Completed
1012,10,105,2023-07-08,1,0.0,7.99,PayPal,Completed
1013,3,117,2023-07-09,2,0.0,5.99,Credit Card,Completed
1014,11,110,2023-07-10,1,0.0,5.99,Debit Card,Completed
1015,12,114,2023-07-10,1,10.0,7.99,Credit Card,Completed
1016,13,103,2023-07-11,1,0.0,7.99,PayPal,Completed
1017,14,120,2023-07-12,5,0.0,5.99,Credit Card,Completed
1018,15,109,2023-07-12,3,0.0,5.99,Debit Card,Completed
1019,1,107,2023-07-13,1,0.0,7.99,Credit Card,Completed
1020,16,106,2023-07-14,1,5.0,7.99,Credit Card,Completed
1021,17,115,2023-07-15,1,0.0,15.99,Debit Card,Completed
1022,18,101,2023-07-15,2,10.0,5.99,PayPal,Completed
1023,19,118,2023-07-16,10,15.0,5.99,Credit Card,Completed
1024,20,113,2023-07-17,1,0.0,7.99,Credit Card,Completed
1025,4,116,2023-07-18,2,0.0,5.99,Debit Card,Completed
1026,5,102,2023-07-19,5,5.0,5.99,Credit Card,Completed
1027,6,104,2023-07-20,1,10.0,7.99,PayPal,Completed
1028,7,111,2023-07-21,1,0.0,15.99,Credit Card,Completed
1029,8,108,2023-07-22,3,0.0,5.99,Debit Card,Completed
1030,9,119,2023-07-23,1,5.0,5.99,Credit Card,Completed
1031,10,107,2023-07-24,1,0.0,7.99,PayPal,Completed
1032,2,110,2023-07-25,2,0.0,5.99,Credit Card,Completed
1033,3,114,2023-07-26,1,0.0,7.99,Debit Card,Completed
1034,11,101,2023-07-27,1,10.0,5.99,Credit Card,Completed
1035,12,109,2023-07-28,4,0.0,5.99,PayPal,Completed
1036,13,112,2023-07-29,1,5.0,19.99,Credit Card,Completed
1037,14,117,2023-07-30,1,0.0,5.99,Debit Card,Completed
1038,15,120,2023-07-31,3,0.0,5.99,Credit Card,Completed
1039,16,103,2023-08-01,1,0.0,7.99,Credit Card,Completed
1040,17,106,2023-08-02,1,15.0,7.99,PayPal,Completed
1041,18,115,2023-08-03,1,0.0,15.99,Debit Card,Completed
1042,19,102,2023-08-04,2,0.0,5.99,Credit Card,Completed
1043,20,118,2023-08-05,8,10.0,5.99,Credit Card,Completed
1044,1,113,2023-08-06,1,0.0,7.99,Debit Card,Completed
1045,2,111,2023-08-07,1,5.0,15.99,Credit Card,Completed
1046,3,108,2023-08-08,2,0.0,5.99,PayPal,Completed
1047,4,105,2023-08-09,1,0.0,7.99,Credit Card,Completed
1048,5,119,2023-08-10,1,0.0,5.99,Debit Card,Completed
1049,6,116,2023-08-11,3,5.0,5.99,Credit Card,Completed
1050,7,104,2023-08-12,1,10.0,7.99,PayPal,Completed
