product_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity
101,Wireless Mouse,Electronics,Computer Accessories,TechPro,29.99,15.00,150
102,USB-C Cable,Electronics,Computer Accessories,ConnectPlus,12.99,5.00,300
103,Laptop Stand,Electronics,Computer Accessories,ErgoDesk,49.99,25.00,80
104,Mechanical Keyboard,Electronics,Computer Accessories,TechPro,89.99,45.00,60
105,Webcam HD,Electronics,Computer Accessories,VisionTech,59.99,30.00,100
106,Noise Cancelling Headphones,Electronics,Audio,SoundMax,149.99,75.00,50
107,Bluetooth Speaker,Electronics,Audio,SoundMax,79.99,40.00,120
108,Phone Stand,Electronics,Phone Accessories,HoldIt,19.99,8.00,200
109,Screen Protector,Electronics,Phone Accessories,GuardPro,9.99,3.00,500
110,Wireless Charger,Electronics,Phone Accessories,ChargeFast,34.99,18.00,150
111,Office Chair,Furniture,Office,ComfortSeat,199.99,100.00,40
112,Standing Desk,Furniture,Office,ErgoDesk,399.99,200.00,25
113,Monitor Arm,Furniture,Office,FlexiMount,79.99,40.00,70
114,Desk Lamp,Furniture,Office,BrightLight,39.99,20.00,100
115,Filing Cabinet,Furniture,Office,OrganizePro,149.99,75.00,30
116,Notebook Set,Stationery,Paper Products,WriteWell,14.99,6.00,250
117,Pen Set Premium,Stationery,Writing Tools,WriteWell,24.99,10.00,180
118,Sticky Notes Pack,Stationery,Paper Products,QuickNote,7.99,3.00,400
119,Desk Organizer,Stationery,Organization,OrganizePro,29.99,15.00,150
120,Whiteboard Markers,Stationery,Writing Tools,ColorMark,12.99,5.00,300
